"구분","등록번호","청구기호","서명","저작자","발행자","발행년","가격","자료실명"
"1185","EM0000381305","152.226-장77ㅈ","장자  : 낙천적 허무주의자의 길","장주 지음  ; 김갑수 옮김","글항아리","2019","25000","일반인문도서"
"1186","EM0000381306","152.226-안98ㅈ","장자 인문학","안희진 지음","시그마북스","2019","16000","종합자료실"
"1187","EM0000381307","192-이67ㅈ","제자규","[이육수] 원작 ; 권애영 번역·해설","현북스","2019","13000","종합자료실"
"1188","EM0000381308","189-휴233ㅇ","(처음 만나는) 우니히피리  : 안녕! 내 안의 진정한 나","이하레아카라 휴렌, KR 여사 지음  ; 조현희 옮김","지식의숲","2019","11200","종합자료실"
"1189","EM0000381309","166.8-문53ㅊ","철학의 슬픔  : 자기중심성에서 벗어나기","문성원 지음","그린비","2019","17000","종합자료실"
"1190","EM0000381310","160.4-내228ㅊ","철학의 이단자들  : 서양근대철학의 경이롭고 위험한 탄생","스티븐 내들러 글  ; 벤 내들러 그림  ; 이혁주 옮김","창비","2019","18000","종합자료실"
"1191","EM0000381311","166.4-볼833ㅊ","철학편지","볼테르 지음  ; 이봉지 옮김","문학동네","2019","11000","종합자료실"
"1192","EM0000381312","335.5-이45ㅊ","취향의 발견  : 미칠수록 행복해지는 12명의 취향저격자들","이봉호 지음","이담 Books","2019","13800","종합자료실"
"1193","EM0000381313","189-번58ㅍ","판단 디톡스  : 생각·비판·분노·두려움으로 가득 찬 내 마음 해독법","가브리엘 번스타인 지음  ; 변희정 옮김","터치아트","2019","15000","종합자료실"
"1194","EM0000381314","166.3-파58ㅍ","팡세","블레즈 파스칼 지음  ; 정봉구 옮김","육문사","2019","25000","종합자료실"
"1195","EM0000381315","189-리69ㅎ","하버드 심리 수업  = Harvard psychology  : 오직 하버드에서만 가르쳐주는 삶의 지혜와 성공 노하우","리잉 지음 ; 고보혜 옮김","이터","2019","14500","종합자료실"
"1196","EM0000381316","164.55-정11ㅎ-1","화이트헤드 철학에 입문합니다  : 화이트헤드 철학을 처음 만나는 사람들을 위한 기초 입문서. 1-2","정강길 지음","몸학연구소","2019","25000","종합자료실"
"1197","EM0000381317","164.55-정11ㅎ-2","화이트헤드 철학에 입문합니다  : 화이트헤드 철학을 처음 만나는 사람들을 위한 기초 입문서. 1-2","정강길 지음","몸학연구소","2019","25000","종합자료실"
"1198","EM0000381318","229-라31ㅇ","(달라이 라마의) 입보리행론 강의  : 우리 안의 선한 본성은 어떻게 찾아지는가","달라이 라마 지음  ; 뻬마까라 번역 그룹 엮음 ; 이종복 옮김","불광","2019","15000","종합자료실"
"1199","EM0000381319","230.9-하98ㅇ","역사에서 사라진 그녀들  : 젠더로 읽는 기독교 2000년  : 고대에서 현대까지 처음 읽는 기독교 여성사","하희정 지음","선율","2019","17000","종합자료실"
"1200","EM0000381320","234.8-비49ㅈ","존 비비어의 광야에서","존 비비어 지음  ; 정성묵 옮김","두란노(두란노서원)","2019","13000","종합자료실"
"1201","EM0000381321","911.065-한17ㅅ","3·1운동과 기독교 민족대표 16인","한국기독교역사연구소 엮음  ; 고성은, 고지수, 김승태, 김흥수, 박혜진, 손승호, 송현강, 윤경로, 윤상림, 이상규, 이순자, 조선혜, 최태육, 한규무, 홍민기, 홍승표 [지음]","한국기독교역사연구소","2019","22000","종합자료실"
"1202","EM0000381322","235.4-안811ㅅ","3시간 30분, 예루살렘에서 엠마오까지  = 3 hours and 30 minutes from Jerusalem to Emmaus","안창천 지음","우리하나","2019","12000","종합자료실"
"1203","EM0000381323","236.9-곤71ㄱ","(후스토 L. 곤잘레스의) 간추린 교회사  : 교회사 안내서","후스토 L. 곤잘레스 저  ; 주재용 역","은성","2019","10000","종합자료실"
"1204","EM0000381324","332.22-패235ㅂ","부부가 꼭 알아야 할 결혼문제 100가지","레스 패로트 3세 ; 레슬리 패로트 [공]지음 ; 정지훈 옮김","요단","2019","15000","종합자료실"
"1205","EM0000381325","235.824-바67ㄱ","교회, 난민을 품다  : 두려움, 편견, 무지를 넘어 '지극히 작은 자'를 사랑하는 길","스티븐 바우만, 매튜 소렌스, 이쌈 스메어 지음  ; 김종대 옮김","토기장이","2019","14000","종합자료실"
"1206","EM0000381326","233.1-스821ㄱ","구약성서 입문  : 조금 알거나 거의 알지 못하는 사람을 위하여","장 루이 스카 지음  ; 박요한 영식 옮김","성서와함께","2019","15000","종합자료실"
"1207","EM0000381327","219.21-쥘18ㄱ","그리스 신화 백과사전  : 그리스 신화의 50가지 그림자","쥘 그림  ; 샤를 페팽 글  ; 조재룡 옮김","이숲","2019","17000","종합자료실"
"1208","EM0000381328","235.2-스843ㄱ","그리스도의 업적  : 예수님이 성취하신 7가지 놀라운 일","찰스 스펄전 지음  ; 정시용 옮김","프리스브러리","2019","10000","종합자료실"
"1209","EM0000381329","219.2-최45ㄱ","그리스로마 신화로 읽는 사랑열전  : 바람난 신과 인간의 적나라한 연애사건들","최복현 지음","양문","2019","16000","종합자료실"
"1210","EM0000381330","223.53-전72ㄱ","금강경삼가해","전재강 역주","운주사","2019","35000","종합자료실"
"1211","EM0000381331","234.174-한34ㄴ","나는 과연  : 사도 요한에게 배우는 관계학","한명준 지음","예수전도단","2019","14000","종합자료실"
"1212","EM0000381332","604.22-배72ㄴ","나의 불교미술 이야기","배재호 지음","종이와나무","2019","18000","종합자료실"
"1213","EM0000381333","234.8-타821ㄴ","나의 비아 돌로로사  : 아시아에서 따라간 일본제국주의의 흔적","타카미츠 무라오카 지음  ; 강범하 옮김","겨자나무","2019","13000","종합자료실"
"1214","EM0000381334","629.3-장225ㄴ","나의 사랑, 나의 십자가  : 조각가 장동근 목사의 십자가 작품 이야기  : 사십일마음성장","장동근 지음","아바상상","2018","20000","종합자료실"
"1215","EM0000381335","811.7-정225ㄴ","내 영혼의 일천 고백  : 새벽마다 詩를 짓는 정동희 권사의 묵상일기","정동희 지음","좋은땅","2019","12000","종합자료실"
"1216","EM0000381336","234.8-한62ㄷ","당신들을 기억하며  : 극동방송 희망칼럼, 그 네 번째 이야기","한양훈 지음","有하","2019","13000","종합자료실"
"1217","EM0000381337","234.82-김91ㄷ","더 깊은 하나님의 은혜  : 내 삶에 새겨진 하나님의 은혜  = Undeserved grace : God's grace inscribed in my life","김학재 지음","교회성장연구소","2019","12000","종합자료실"
"1218","EM0000381338","238.481-김53ㄹ","루터의 프로테스탄트 개혁  : 신학·교회·사회 개혁  = Luther's protestant reformation : theological, ecclesiastical and social reform","김선영 지음","대한기독교서회","2019","18000","종합자료실"
"1219","EM0000381339","234.8-머239ㄹ","리셋하라! : 방전되고 무기력한 삶을 회복하는 새로 고침 프로젝트","데이비드 머리 지음 ; 정성묵 옮김","디모데","2019","13000","종합자료실"
"1220","EM0000381340","911.06-한62ㅁ","만해 한용운  : 고난의 칼날에 서라","한양대학교 불교학생회 동문회 편저","맘에드림","2019","12000","종합자료실"
"1221","EM0000381341","223.582-한66ㅁ","만해의 마지막 유마경  : 만해가 남긴 생애 처음이자 마지막 미완의 경전","한용운 지음","어의운하","2019","15000","종합자료실"
"1222","EM0000381342","981.102-황39ㅁ","목적이 이끄는 여행  : 온가족이 함께한 40일 간의 전국 일주","황미연 지음","보민","2019","16000","종합자료실"
"1223","EM0000381343","549.22-임53ㅂ","법주사  : 일상성으로 체상용 삼대를 설하다","임석재 지음","나녹","2019","12000","종합자료실"
"1224","EM0000381344","220-보53ㅇ","이야기로 배우는 불교","보성큰스님 지음","효림","2019","5000","종합자료실"
"1225","EM0000381345","549.22-임53ㅂ","부석사  : '무량'에 이르는 돈오돈수","임석재 지음","나녹","2019","12000","종합자료실"
"1226","EM0000381346","236.911-최72ㅂ","북녘의 교회를 가다  : 최재영 목사의 이북 교회 제대로 보기","최재영 지음","동연","2019","19000","종합자료실"
"1227","EM0000381347","225.8-박14ㅂ","불교학의 사회화 이론과 실제  : 삶의 예술로서의 응용실천불교학","박경준 著","운주사","2019","37000","종합자료실"
"1228","EM0000381348","231.8-최64ㅅ","(성경의 문으로 들어가서 하이델베르크 요리문답의 창으로 보는) 사도신경  : 역사속에 숨겨진 보물","최영인 지음","예사람","2019","12000","종합자료실"
"1229","EM0000381349","231-매829ㅅ","신앙의 논리  : 그리스도교 신학의 넓이와 깊이","마크 매킨토시 지음  ; 안에스더 옮김","비아","2019","14000","종합자료실"
"1230","EM0000381350","235.2-틸239ㅅ","신학을 공부하는 이들에게","헬무트 틸리케 지음  ; 박규태 옮김","IVP(한국기독학생회)","2019","7000","종합자료실"
"1231","EM0000381351","180.4-김53ㅇ","아주 사적인 신화 읽기  : 신화로 보는 내 마음의 비밀","김서영 지음","현암사","2018","16000","종합자료실"
"1232","EM0000381352","231.42-이63ㅇ","아주 특별한 부르심","이에스더 ; 장덕봉 지음","국민일보","2019","13000","종합자료실"
"1233","EM0000381353","220.4-호73ㅇ","연꽃처럼 살다가 수련처럼 가련다","호정 지음","행복에너지","2019","15000","종합자료실"
"1234","EM0000381354","234.2-김94ㅇ","예수가 내 인생에 들어오시면  : 나만의 예수를 만나는 묵상 노트","김형국 지음","생명의말씀사","2019","7000","종합자료실"
"1235","EM0000381355","234.2-김94ㅇ","오늘 당신을 만납니다  : 나만의 예수를 만나는 묵상 노트","김형국 지음","생명의말씀사","2019","7000","종합자료실"
"1236","EM0000381356","234.8-박16ㅇ","오늘, 주님과 살다  : 메마른 영혼을 소생시키는 특별한 만남","박광석 지음","두란노(두란노서원)","2019","12000","종합자료실"
"1237","EM0000381357","236.911-김67ㅇ","일제의 종교정책과 한국 기독교 : 일제강점기 한국교회의 도전과 응원","김윤홍 지음","영성네트워크","2019","13000","종합자료실"
"1238","EM0000381358","210-황45ㅈ","종교와 생기  : 새로운 생기수행 질병, 치료종교의 알맹이 1% 미만","황보병호 지음","북랩","2019","15000","종합자료실"
"1239","EM0000381359","235.3-밀233ㅎ","하나님 나라의 리더로 사는 법","Michael D. Miller 지음  ; 한국리더십학교 옮김","쿰란","2019","9000","종합자료실"
"1240","EM0000381360","234.12-켈239ㅎ","하나님의 義란 무엇인가 : 이신득의를 가능케 하는 신적인 힘","윌리암 켈리 지음  ; 이종수 옮김","형제들의 집","2019","9000","종합자료실"
"1241","EM0000381361","225.84-김19ㅎ","한국고전문학과 불교","김기종 지음","동국대학교","2019","20000","종합자료실"
"1242","EM0000381362","234.8-루823ㅎ","흔들리지 않는 약속, 흔들리지 않는 소망  : 염려 많은 세상에서 승리하며 살기","맥스 루케이도 지음  ; 구지원 옮김","생명의말씀사","2019","15000","종합자료실"
"1243","EM0000381363","220.4-최53ㅎ","힘들 때 펴보라던 편지  : 영혼을 깨우는 선승들의 일화 301","최성현 지음  ; 김진이 그림","불광","2019","16800","종합자료실"
"1244","EM0000381364","325.211-엠49ㅊ","청년이여, 지금 시작하라","MBN Y 포럼 사무국, 최은수 지음","매경","2019","14000","종합자료실"
"1245","EM0000381365","327.87-박75ㄱ","(빌딩박사 박종복의) 그들은 왜 아파트를 팔았나  : 80인의 빌딩 투자 성공 스토리","박종복 지음","Woman sense books","2019","14800","종합자료실"
"1246","EM0000381366","321.55-꿈14-[3]","(십대를 위한 롤모델) #공직자","김동일, 어윤경, 최윤정 지음  ; 권나영, 유영근 그림","꿈결","2019","14800","종합실(청소년)"
"1247","EM0000381367","321.55-꿈14-[4]","(십대를 위한 롤모델) #사회공헌가","김동일, 어윤경, 최윤정 지음 ; 권나영, 유영근 그림","꿈결","2019","14800","종합실(청소년)"
"1248","EM0000381368","325.211-로35ㅇ","(학벌도 인맥도 사회성도 없는) 아웃사이더의 성공 노트","제니퍼 로몰리니 지음  ; 박아람 옮김","책읽는수요일","2019","15800","종합자료실"
"1249","EM0000381369","373.4-서67ㄷ","더이상 공부에 쫓기지말고 공부를 정복하라","서웅찬 지음  ; 채정호 그림","꿈과의지","2019","18500","종합자료실"
"1250","EM0000381370","802.56-헤228ㅁ","(흥분하지 않고 우아하게 리드하는) 말센스","셀레스트 헤들리 지음  ; 김성환 옮김","스몰빅라이프","2019","14500","종합자료실"
"1251","EM0000381371","325.211-서73ㅂ","100년 뒤에도 변치 않을 가장 인간적인 4가지 도구의 힘  : 다시, ＜읽고 듣고 말하고 쓰기＞를 권함","서정현 지음","북포스","2019","13000","종합자료실"
"1252","EM0000381372","189-세238ㅅ","10대, 나를 발견하는 30일  : 어떤 사람이 되고 싶은가요","이자벨 세르방 지음  ; 이주영 옮김  ; 이준호 일러스트","글담","2019","13000","종합실(청소년)"
"1253","EM0000381373","199.6-다17ㅅ","40대를 후회 없이 살기 위한 15가지 습관","다구치 요시후미 지음  ; 이정은 옮김","홍익출판사","2019","13800","종합자료실"
"1254","EM0000381374","189.2-이39ㄱ","갈등을 잘 다루니 인간관계가 쉬워졌습니다  : 갈등에 서툴고 막막한 사람들을 위한 책","이민식 지음","메이트북스","2019","16000","종합자료실"
"1255","EM0000381375","373.4-김51ㄱ","강남 코디의 중고등학생 공부법","김상섭, 김지영 지음","북루덴스","2019","15000","종합자료실"
"1256","EM0000381376","691.15-케69ㄱ","게임으로 공부하는 아이들  : 게임 때문에 자녀와 전쟁 중인 학부모를 위한 안내서","KBS 다큐세상 <게임, 공부의 적일까요> 제작팀, 전옥배, 김미수 지음","상상박물관","2019","15000","종합자료실"
"1257","EM0000381377","321.55-김91ㄱ","경찰관 어떻게 되었을까  = How did they become police officers  : 현직 경찰들을 통해 알아보는 리얼 직업 이야기","김한홍 지음","캠퍼스멘토","2019","15000","종합실(청소년)"
"1258","EM0000381378","325.512-김75ㄱ","고객가치  = Customer value  : 고객가치는 기업의 생명줄이다!","김종훈 지음","클라우드나인","2019","15000","종합자료실"
"1259","EM0000381379","325.04-이69ㄱ","골 때리는 인생 코칭","이인상 지음","위","2019","15000","종합자료실"
"1260","EM0000381380","373.4-이75ㄱ","공부는 어떻게 내 삶을 바꾸었나  : 전교 꼴찌, 판사 되다","이종훈 지음","북카라반","2019","14000","종합자료실"
"1261","EM0000381381","325.211-안44ㄱ","그래서 캐주얼  : 이상하자 일탈하자 도전하자 행복하자","안병민 지음","책비","2019","14000","종합자료실"
"1262","EM0000381382","327.04-김94ㄱ","금융지식이 이렇게 쓸모 있을 줄이야","김현섭, 민병혁, 이호용, 홍은미 지음","메이트북스","2019","16000","종합자료실"
"1263","EM0000381383","325.211-지215ㄱ","긍정적 일탈주의자  : 내 안의 탁월한 말썽꾸러기 해방시키기","프란체스카 지노 지음  ; 김정혜 옮김","한국경제신문","2019","16000","종합자료실"
"1264","EM0000381384","373-심17ㄲ","꿈은 교실 밖에서 자란다  : 십대를 위한 십대들의 여행 공부","심규석 지음","Vivi2(비비투)","2019","13800","종합실(청소년)"
"1265","EM0000381385","325.33-금227ㄲ","꿈은 모르겠고 취업은 하고 싶어  : 90년대생의 취업은 다르다","금두환 지음","다산북스","2019","15000","종합자료실"
"1266","EM0000381386","377-송64ㄲ","꿈을 품고 하늘 걷다  : 승무원을 꿈꾸는 중·고등학생의 필수 도서","송연희 지음 ; 최정원 영작","마음상자","2019","14800","종합실(청소년)"
"1267","EM0000381387","325.211-박73ㄴ","나는 아마존에서 미래를 다녔다","박정준 지음","한빛비즈","2019","15000","종합자료실"
"1268","EM0000381388","325.211-홀239ㄴ","나를 바꾸는 인생의 마법","레이첼 홀리스 지음  ; 박미경 옮김","이다미디어","2019","15000","종합자료실"
"1269","EM0000381389","327.856-김18ㄴ","나의 주식투자 생존기  : 불고기벅어 주식 투자 10년간 '천국'과 '지옥'을 오간 썰!!","김근형 지음","갈라북스","2019","13000","종합자료실"
"1270","EM0000381390","337.2-스835ㄴ","내 안의 가부장  : 여성을 앞으로 나아가지 못하게 하는 보이지 않는 힘","시드라 레비 스톤 지음  ; 백윤영미, 이정규 옮김","사우","2019","16000","종합자료실"
"1271","EM0000381391","325.211-박73ㄴ","내 인벤토리에 구글을 담다  : 일상의 반전을 만드는 구글 이노베이터의 도구 활용법","박정철 지음","프리렉","2019","15000","종합자료실"
"1272","EM0000381392","370.13-윤57ㄴ","내가 달라져야 세상과 교육이 달라진다  : 사회문화적 관점의 렌즈","윤순경 지음","교육과학사","2019","14000","종합자료실"
"1273","EM0000381393","321.504-제94ㄴ","내리막 세상에서 일하는 노마드를 위한 안내서  : 누구와, 어떻게, 무엇을 위해 일할 것인가  : 리커버 에디션","제현주 지음","어크로스","2019","14500","종합자료실"
"1274","EM0000381394","598.6-강817ㄴ","냉정한 부모의 자녀교육법  : 자녀의 재능 계발을 위한 열 가지 교육 지침  = Authoritative parenting : 10 guidelines for children's talent development","강충열, 박승렬 공저","학지사","2019","14000","종합자료실"
"1275","EM0000381395","331.18-이53ㄴ","너도 옳고 나도 옳다 다만 다를 뿐  : 존중해 주세요 가까워도 남이잖아요","이성동, 김승회 지음","좋은책만들기","2019","16000","종합자료실"
"1276","EM0000381396","327.87-권72ㄴ","노후 연금 상가 투자가 답이다","권재우 지음","권재우창업전략연구소","2019","15000","종합자료실"
"1277","EM0000381397","325.211-허44ㄷ","닥터 쿡, 직장을 요리하다","허병민 지음","Bookquake(북퀘이크)","2019","15000","종합자료실"
"1278","EM0000381398","331.53-남73ㄷ","대통령의 선물 : 대한민국의 '문화'를 만든 1960~1970년대를 돌아보다","남정욱, 황인희, 김다인, 최공재, 이용남 지음","Freedom&Wisdom","2019","18000","종합자료실"
"1279","EM0000381399","199.1-민77ㄷ","더 좋은 삶으로 가는 생각","민준건 글  ; 오병철 그림","가현정북스","2019","15000","종합자료실"
"1280","EM0000381400","331.18-카213ㅇ","(데일 카네기) 인간관계론","데일 카네기 지음 ; 하소연 옮김","자화상","2019","8800","종합자료실"
"1281","EM0000381401","325.337-강811ㅇ","(도전!!) 아나운서 공채 합격하기","강창진 지음","에듀크라운","2016","18000","종합자료실"
"1282","EM0000381402","327.04-김75ㄷ","돈 공부는 처음이라  : 0원부터 시작하는 난생처음 부자 수업","김종봉, 제갈현열 지음","다산북스","2019","16000","종합자료실"
"1283","EM0000381403","199.1-사827ㄷ","돈을 좋아하는 사람 돈이 좋아하는 사람","사쿠라가와 신이치 지음  ; 하진수 옮김","경원","2019","13000","종합자료실"
"1284","EM0000381404","325.24-웨69ㄹ","Lead more, control less  : 관행을 뒤집게 해주는 8가지 고급 리더십 스킬","마빈 웨이스보드, 산드라 제노프 지음  ; 이영숙, 김정수 옮김","얼라인드 북스","2019","15000","종합자료실"
"1285","EM0000381405","331.544-케69ㅁ-[4]","명견만리  : 모두를 위한 공존의 시대를 말하다. 불평등, 병리, 금융, 지역 편","KBS <명견만리> 제작팀 지음","인플루엔셜","2019","15800","종합자료실"
"1286","EM0000381406","325.211-이66ㅁ","문과생인 당신이 지금 해야 할 일  : 20년 뒤에도 살아남는 문과생의 9가지 전략","이와사키 히데토시 지음  ; 최미혜 옮김","비전코리아","2019","15800","종합자료실"
"1287","EM0000381407","362.11-조67ㅂ","백년의 약속  : 우리가 몰랐던 대한민국 헌법 이야기","조유진 지음","처음헌법연구소","2019","10000","종합자료실"
"1288","EM0000381408","360-김92ㅂ","법률 천재가 된 홍 대리  : 세상에서 가장 쉽고 재미있는 생활 속 법률 상식","김향훈, 최영빈 지음","다산북스","2019","15000","종합자료실"
"1289","EM0000381409","340.23-골228ㅂ","보수주의자의 양심","배리 골드워터 지음 ; 박종선 옮김","열아홉","2019","15000","종합자료실"
"1290","EM0000381410","337.091-미239ㅂ","보통이 아닌 날들  : 가족사진으로 보는 재일조선인, 피차별부락, 아이누, 오키나와, 필리핀, 베트남 여성의 삶","미리내 엮음  ; 양지연 옮김","사계절","2019","18000","종합자료실"
"1291","EM0000381411","327.04-요825ㅂ","부자는 아니어도 돈 걱정 없이 사는 법  : 저성장시대에도 흔들리지 않는 돈 모으기 기술","요코야마 미츠아키 지음  ; 정윤아 옮김","반니","2019","13000","종합자료실"
"1292","EM0000381412","325.2113-워838ㅈ","(부자로 만들어주는) 지혜의 법칙  = The law of wisdom to make you rich","월리스 워틀스 지음  ; 안진환 편역","북스코리아","2019","12000","종합자료실"
"1293","EM0000381413","325.211-에69ㅂ","분투력  : 끝내 목표에 도달하는 힘","스콧 에이믹스 지음  ; 서정아 옮김","미래의창","2019","15000","종합자료실"
"1294","EM0000381414","331.53-임53ㅅ","사람들은 왜 킹스맨을 보며 낄낄거릴까  : 영국식 유머가 궁금한 모든 이를 위한 가이드북","임선현 지음","Amadia(아마디아)","2019","15000","종합자료실"
"1295","EM0000381415","325.24-고39ㅇ","(상사에게 깨지지 않는) 아주 작은 습관","고미야 가즈요시 지음  ; 정윤아 옮김","비전코리아","2019","13000","종합자료실"
"1296","EM0000381416","327.04-김211ㅅ","서른에는 남부럽지 않게 잘살고 싶다  : 30대에 1억을 만드는 돈 되는 라이프 스타일","김나연 지음","21세기북스","2019","15000","종합자료실"
"1297","EM0000381417","321.55-이67ㄷ","(세상을 무대로 소통하는) 동시통역사","이윤희 지음","토크쇼","2019","15000","종합실(청소년)"
"1298","EM0000381418","331.233-소33ㅅ","소년은 어떻게 사라지는가","크리스티나 호프 소머즈 지음  ; 서의윤 옮김","좁쌀한알","2019","16000","종합자료실"
"1299","EM0000381419","325.21-박79ㅅ","손님이 모이는 디테일  : 빅데이터가 알려주는 창업의 비밀","박지훈, 주시태 지음","매경","2019","16000","종합자료실"
"1300","EM0000381420","304-강62ㅅ","수상한 질문, 위험한 생각들  : 세상의 통념을 저격하다","강양구 지음","북트리거","2019","15000","종합자료실"
"1301","EM0000381421","528.04-수68","(수의사가 말하는) 수의사  : 23명의 수의사들이 솔직하게 털어놓은 수의사의 세계  : episode 2","이학범, 김정민, 백남운, 박자실, 박천식, 최종영, 권순균, 유승호, 홍원희, 손영호, 조경욱, 김희종, 김춘근, 안재상, 강무숙, 설채현, 오순민, 엄태윤, 정설령, 이형찬, 진희경, 이혜원, 박민경 지음","부키","2019","14800","종합자료실"
"1302","EM0000381422","374.41-박53ㅅ","(수학과 인문학이 함께하는) 생각여행","박성은 지음","한나래플러스","2019","16000","종합자료실"
"1303","EM0000381423","325.211-호59ㅅ","신의 멘탈  : 의지력을 180도 바꾸는 결심의 뇌과학","호시 와타루 지음  ; 김정환 옮김","21세기북스","2019","15000","종합자료실"
"1304","EM0000381424","598.1-심73ㅇ","(심정섭의) 역사 하브루타  : 우리 아이와 가정을 세우는 행복한 소통 교육","심정섭 지음","더 디퍼런스","2019","16000","종합자료실"
"1305","EM0000381425","337-정57ㄷ","(십 대를 위한) 동화 속 젠더 이야기  : 남자다움, 여자다움에 갇힌 '나다움'을 찾아 떠나는 동화 속 인문학 여행!","정수임 지음","팜파스","2019","13000","종합실(청소년)"
"1306","EM0000381426","818-서66ㅇ","아빠가 전하는 귀한 잔소리  : 아직은 미숙한 아들 딸에게 아빠가 전하는 따뜻한 조언","서완식 지음","하이비전","2019","15000","종합자료실"
"1307","EM0000381427","189-카213ㅇ","어떻게 번민을 극복하고 새 삶을 시작할 것인가","데일 카네기 지음 ; 채혜원 옮김","明文堂","2019","15000","종합자료실"
"1308","EM0000381428","325.211-뉴845ㅇ","열정의 배신  : 하고 싶은 일만 하면 정말 행복해질까","칼 뉴포트 지음  ; 김준수 옮김","부키","2019","15000","종합자료실"
"1309","EM0000381429","340.24-리228ㅇ","왜 결정은 국가가 하는데 가난은 나의 몫인가","로렌스 W. 리드 지음  ; 전현주, 박재상, 박준혁, 성화수 옮김","지식발전소","2019","12000","종합자료실"
"1310","EM0000381430","340.221-페839ㅇ","왜 다시 자유인가  : 공화주의와 비지배 자유","필립 페팃 지음  ; 곽준혁, 윤채영 옮김","한길사","2019","19000","종합자료실"
"1311","EM0000381431","325.211-남67ㅇ","왜, 손님들은 그 가게로 몰릴까  : 불황에도 돈을 부르는 장사 마인드","남윤희 지음","바이북스","2019","14000","종합자료실"
"1312","EM0000381432","327.856-버849ㅇ","워런 버핏 라이브  : 버크셔 해서웨이 주주총회 33년간의 Q&A 지상 중계","워런 버핏, 찰리 밍거 원저 ; 대니얼 피컷, 코리 렌 편저 ; 이건 편역","에프엔미디어","2019","28000","종합자료실"
"1313","EM0000381433","327.856-밀233ㅇ","워런 버핏, 부의 기본 원칙  : 워런 버핏의 오늘을 만든 부자의 기본","제레미 밀러 지음  ; 이민주 옮김","북하우스","2019","22000","종합자료실"
"1314","EM0000381434","331.5412-원53ㅇ","이미 일어난 스마트 시대의 미래  : 이것만은 알고 만나자!","원석연 지음","코코넛북스","2019","19000","종합자료실"
"1315","EM0000381435","327.856-이51ㅇ","이상하게 쉬운주식  : 주식 초보라면 반드시 읽어야 할 주식투자서","이상우 지음","이상미디어","2019","19000","종합자료실"
"1316","EM0000381436","321.55-즐13ㅇ","읽으면서 알아가는 미래산업 미래직업 10","즐거운교실문화연구소 지음","캠퍼스멘토","2019","18000","종합실(청소년)"
"1317","EM0000381437","325.26-한57ㅈ","잘나가는 직장인의 커뮤니케이션은 다르다  : 대한민국 직장인 스피치 교과서","한수정, 조향지 지음","BM성안당","2019","16000","종합자료실"
"1318","EM0000381438","325.9-후237ㅈ","장사는 돈 관리다  : '구멍'은 막고, '돈맥'은 뚫는 알짜 장사회계","후루야 사토시 지음  ; 김소영 옮김","쌤앤파커스","2019","15000","종합자료실"
"1319","EM0000381439","182-이79ㅈ","저절로 되는 공부의 비밀","이지현 지음","위닝북스","2019","15000","종합실(청소년)"
"1320","EM0000381440","189.2-명222ㅈ","적당한 거리 두기의 기술  : 불편한 사람과도 편하게 어울릴 수 있는 관계의 힘","명대성 지음","팬덤북스","2019","13500","종합자료실"
"1321","EM0000381441","320.94265-골228ㅈ","(공장이 떠난 도시에서) 제인스빌 이야기","에이미 골드스타인 지음  ; 이세영 옮김","세종서적","2019","18000","종합자료실"
"1322","EM0000381442","327.87-김69ㅈ","좋은 집 구하는 기술 : 누구나 갖고 싶은 집은 어디든 있다","김인만, 정지영, 이주현, 김태훈 지음","winnersbook(위너스북)","2018","18000","종합자료실"
"1323","EM0000381443","327.856-박64ㅈ","주식투자, 누가 시장을 이기는가  : 대한민국 베스트 펀드매니저에게 길을 묻다 : 주식·편드 투자 가이드","박영규 지음","베가북스","2019","19000","종합자료실"
"1324","EM0000381444","321.55-최68ㅈ","죽기 전에 승무원 하고 싶다","최은유 저","백산","2019","17000","종합자료실"
"1325","EM0000381445","320.912-이57ㅈ","중국의 부자  : 《화식열전》으로 보는 고전 경제학","이수광 지음","StarRich Books(스타리치북스)","2019","16000","종합자료실"
"1326","EM0000381446","325.21-이64ㅈ","(지금 당장 시작할 수 있는) 작은 가게 만들기","이영호 지음","생각나눔","2019","15000","종합자료실"
"1327","EM0000381447","327.04-한225ㅈ","지금부터 재테크는, 엔화로 갈아탄다","한동엽, 정철윤 지음","Eight Point(에이트 포인트)","2019","15000","종합자료실"
"1328","EM0000381448","031-기34ㅈ","지적 수다를 위한 상식 퍼즐","기명균 지음  ; 안다연 일러스트","RHK(알에이치코리아)","2019","15000","종합자료실"
"1329","EM0000381449","325.211-마58ㅈ","직장 생활 힘 빼기의 기술  : 노력형 김대리를 요령 좋은 일잘러로 바꾼 업무 시크릿 56","마쓰모토 도시아키 지음  ; 백운숙 옮김","북클라우드","2019","14000","종합자료실"
"1330","EM0000381450","549.782-진91ㅈ","직장인, 겁 없이 상가주택 짓다  : 건축주가 진짜 궁금해 하는 57가지 질문","진하빠 지음","주택문화사","2019","13000","종합자료실"
"1331","EM0000381451","327.8-로73ㅅ","(짐 로저스의) 스트리트 스마트  : 투자는 책에서 배우는 것이 아니라 거리에서 배우는 것이다!","짐 로저스 지음  ; 이건 옮김","이레미디어","2019","17500","종합자료실"
"1332","EM0000381452","325.211-주98ㅋ","큰 소리 내지 않고 세상을 내 편으로 만드는 법  : 조용하고 낯을 가리지만, 강력한 한 방이 있는 사람들의 비밀","주희진 지음","Hongjae(홍재)","2019","14500","종합자료실"
