"구분","등록번호","청구기호","서명","저작자","발행자","발행년","가격","자료실명"
"52","EM0000380041","189.1-토67ㅁ","마인드스캔  : 마음을 살펴 행복으로 나아가는 명상의 기술","토우 지음","북랩","2019","14000","종합자료실"
"53","EM0000380042","189-우819ㅁ","말하기 힘든 것에 대해 말하기","우치다 타츠루 지음  ; 이지수 옮김","서커스","2019","16000","종합자료실"
"54","EM0000380043","152.216-맹71ㅁ","맹자씨, 정의가 이익이라고요  : 《맹자》단단히 읽기","맹자 원저  ; 이양호 지음","평사리","2019","13000","종합실(청소년)"
"55","EM0000380044","185.5-최34ㅁ","무아의 심리학 : 융 심리학으로 바라본 조사선의 세계","최명희","자유문고","2019","23000","종합자료실"
"56","EM0000380045","165.77-박811ㅅ","사는 게 힘드냐고 니체가 물었다  : 피할 수 없는 내 운명을 사랑하는 법","박찬국 지음","21세기북스","2018","18000","종합자료실"
"57","EM0000380046","199.1-셸33ㅅ","사랑한다면 거리를 두는 게 좋아  : 홀로 자유롭게 살아가는 고양이의 행복 수업","제이미 셸먼 지음  ; 박진희 옮김","리드리드","2019","13800","종합자료실"
"58","EM0000380047","181.71-신58ㅅ","사랑할수록 지혜로워진다  : 스피노자와 함께 인생의 새 판 짜기","신승철 지음","사우","2019","18000","종합자료실"
"59","EM0000380048","166.8-강39ㅅ","사르트르 vs 메를로퐁티  = Sartre vs Merleau-Ponty","강미라 지음","세창","2018","14000","종합자료실"
"60","EM0000380049","238.248-재825ㅅ","살면서 꼭 해야 할 재미있는 일 10가지  : 캐롤 수녀가 전하는 <후회없는 삶을 위해 오늘부터 해야 할 것들>","캐롤 재코우스키 지음  ; 공경희 옮김","홍익","2019","14800","종합자료실"
"61","EM0000380050","180-아62ㅅ","생각을 버리는 심리학  : 아무것도 하지 않는 것의 힘","스티브 아얀 지음  ; 배명자 옮김","해의시간","2019","16000","종합자료실"
"62","EM0000380051","148-장58ㅅ","생각을 키우는 이야기 사서","장스완 지음","유아이북스","2019","13500","종합실(청소년)"
"63","EM0000380052","104-퍼213ㅅ","생각의 차이  : 일상과 철학의 만남 마음을 열고 세상을 보라!","애덤 퍼너 지음  ; 김보영 옮김","유재","2019","16000","종합자료실"
"64","EM0000380053","199.1-디73ㅅ","세상은 됐고 나를 바꾼다  : 태도가 본질이다! 홀가분한 삶을 위한 단단한 생각들","DJ 래피 지음","윌링북스","2018","15000","종합자료실"
"65","EM0000380054","180-포845ㅅ","심리학 도감  : 나를 알고 너를 알게 되는 생활 심리","포포 포로덕션 지음  ; 김선숙 옮김","BM성안당","2019","15000","종합자료실"
"66","EM0000380055","186.3-스39ㅇ","아동청소년 상담  : 이론, 발달 및 다양성의 연계","Sondra Smith-Adcock, Catherine Tucker 편저 ; 서영석, 김정민, 신윤정, 이승연, 하정희 옮김","시그마프레스","2019","18000","종합자료실"
"67","EM0000380056","199.1-클233ㅇ","아이처럼 놀고 배우고 사랑하라  : 일, 놀이, 배움, 인생에 대한 18가지 지혜","앨런 클레인 지음  ; 김정은 옮김","생각의서재","2019","14500","종합자료실"
